,Sentence #,Word,Tag
0,1,Magnetic,null
1,1,and,null
2,1,thermoelectric,null
3,1,properties,null
4,1,of,null
5,1,the,null
6,1,ternary,null
7,1,pseudo-hollandite,null
8,1,BaxCr5Se8,target
9,1,(,null
10,1,0.5,number
11,1,<,null
12,1,x,null
13,1,<,null
14,1,0.55,number
15,1,),null
16,1,solid,null
17,1,solution,null
18,1,.,null
19,2,In,null
20,2,order,null
21,2,to,null
22,2,prevent,null
23,2,oxidation,null
24,2,of,null
25,2,the,null
26,2,reactants,unspecified-material
27,2,and,null
28,2,of,null
29,2,the,null
30,2,products,unspecified-material
31,2,",",null
32,2,all,null
33,2,manipulations,null
34,2,were,null
35,2,performed,operation
36,2,under,null
37,2,an,null
38,2,inert,unspecified-material
39,2,gas,unspecified-material
40,2,atmosphere,null
41,2,or,null
42,2,under,null
43,2,vacuum,condition-misc
44,2,(,null
45,2,glove,null
46,2,box,null
47,2,or,null
48,2,sealed,null
49,2,containers,null
50,2,),null
51,2,.,null
52,3,The,null
53,3,elements,null
54,3,",",null
55,3,Ba,precursor
56,3,(,null
57,3,rod,null
58,3,",",null
59,3,99+,number
60,3,%,amount-unit
61,3,),null
62,3,",",null
63,3,Se,precursor
64,3,(,null
65,3,shots,null
66,3,",",null
67,3,99.999,number
68,3,%,amount-unit
69,3,),null
70,3,and,null
71,3,Cr,precursor
72,3,(,null
73,3,powder,null
74,3,-325,number
75,3,Mesh,property-unit
76,3,",",null
77,3,99,number
78,3,%,amount-unit
79,3,),null
80,3,all,null
81,3,from,null
82,3,Alfa,null
83,3,Aesar,null
84,3,",",null
85,3,were,null
86,3,used,operation
87,3,as,null
88,3,received,null
89,3,.,null
90,4,The,null
91,4,synthesis,null
92,4,of,null
93,4,the,null
94,4,solid,null
95,4,-,null
96,4,solution,null
97,4,samples,unspecified-material
98,4,was,null
99,4,performed,operation
100,4,following,null
101,4,ref.,null
102,4,20,reference
103,4,.,null
104,5,BaSe,material
105,5,was,null
106,5,prepared,operation
107,5,by,null
108,5,mechanical,operation
109,5,alloying,operation
110,5,using,operation
111,5,appropriate,null
112,5,amounts,null
113,5,of,null
114,5,the,null
115,5,elements,unspecified-material
116,5,(,null
117,5,10,number
118,5,g,amount-unit
119,5,total,null
120,5,),null
121,5,loaded,operation
122,5,in,null
123,5,20,number
124,5,ml,apparatus-unit
125,5,tungsten,apparatus-descriptor
126,5,carbide,apparatus-descriptor
127,5,jars,synthesis-apparatus
128,5,and,null
129,5,using,null
130,5,7,number
131,5,balls,apparatus-unit
132,5,of,null
133,5,the,null
134,5,same,null
135,5,material,unspecified-material
136,5,.,null
137,6,The,null
138,6,mechanical,operation
139,6,alloying,operation
140,6,synthesis,null
141,6,was,null
142,6,achieved,operation
143,6,using,operation
144,6,a,null
145,6,Fritsch,brand
146,6,Pulverisette,synthesis-apparatus
147,6,7,synthesis-apparatus
148,6,PL,synthesis-apparatus
149,6,",",null
150,6,with,null
151,6,a,null
152,6,program,null
153,6,of,null
154,6,15,number
155,6,cycles,condition-unit
156,6,of,null
157,6,2,number
158,6,minutes,condition-unit
159,6,at,null
160,6,a,null
161,6,speed,null
162,6,of,null
163,6,700,number
164,6,rpm,condition-unit
165,6,.,null
166,7,BaxCr5Se8,target
167,7,was,null
168,7,then,null
169,7,prepared,operation
170,7,from,null
171,7,an,null
172,7,appropriate,null
173,7,amount,null
174,7,of,null
175,7,BaSe,material
176,7,and,null
177,7,elemental,null
178,7,Cr,precursor
179,7,and,null
180,7,Se,precursor
181,7,.,null
182,8,In,null
183,8,order,null
184,8,to,null
185,8,obtain,null
186,8,5,number
187,8,g,amount-unit
188,8,of,null
189,8,the,null
190,8,title,null
191,8,phase,unspecified-material
192,8,",",null
193,8,precursors,unspecified-material
194,8,were,null
195,8,ground,operation
196,8,",",null
197,8,mixed,operation
198,8,and,null
199,8,placed,operation
200,8,in,null
201,8,an,null
202,8,alumina,null
203,8,boat,null
204,8,in,null
205,8,a,null
206,8,sealed,operation
207,8,silica,null
208,8,tube,null
209,8,",",null
210,8,and,null
211,8,heated,operation
212,8,to,null
213,8,873,number
214,8,K,condition-unit
215,8,in,null
216,8,10,number
217,8,hours,condition-unit
218,8,",",null
219,8,the,null
220,8,temperature,null
221,8,at,null
222,8,which,null
223,8,it,null
224,8,remained,null
225,8,for,null
226,8,two,null
227,8,days,null
228,8,.,null
229,9,The,null
230,9,mixture,unspecified-material
231,9,was,null
232,9,then,null
233,9,slowly,null
234,9,cooled,operation
235,9,to,null
236,9,room,null
237,9,temperature,null
238,9,within,null
239,9,10,number
240,9,hours,condition-unit
241,9,and,null
242,9,a,null
243,9,homogeneous,null
244,9,dark,null
245,9,grey,null
246,9,powder,unspecified-material
247,9,was,null
248,9,obtained,null
249,9,.,null
250,10,The,null
251,10,powder,unspecified-material
252,10,was,null
253,10,compacted,operation
254,10,using,operation
255,10,spark,operation
256,10,plasma,operation
257,10,sintering,operation
258,10,(,null
259,10,FCT,null
260,10,HP,null
261,10,D,null
262,10,25,null
263,10,/,null
264,10,1,null
265,10,),null
266,10,in,null
267,10,order,null
268,10,to,null
269,10,produce,operation
270,10,dense,null
271,10,samples,unspecified-material
272,10,for,null
273,10,physical,null
274,10,property,null
275,10,measurements,null
276,10,.,null
277,11,About,null
278,11,5,number
279,11,g,amount-unit
280,11,of,null
281,11,the,null
282,11,sample,unspecified-material
283,11,were,null
284,11,inserted,operation
285,11,into,null
286,11,high,null
287,11,density,null
288,11,graphite,null
289,11,dies,null
290,11,(,null
291,11,Carbonloraine,null
292,11,),null
293,11,with,null
294,11,an,null
295,11,inner,null
296,11,diameter,null
297,11,of,null
298,11,15,number
299,11,mm,apparatus-unit
300,11,.,null
301,12,The,null
302,12,temperature,null
303,12,was,null
304,12,raised,operation
305,12,in,null
306,12,45,number
307,12,minutes,condition-unit
308,12,to,null
309,12,973,number
310,12,K,condition-unit
311,12,",",null
312,12,this,null
313,12,temperature,null
314,12,plateau,null
315,12,lasted,null
316,12,40,number
317,12,minutes,condition-unit
318,12,before,null
319,12,a,null
320,12,45,number
321,12,minutes,condition-unit
322,12,ramp,operation
323,12,down,operation
324,12,to,null
325,12,room,null
326,12,temperature,null
327,12,.,null
328,13,The,null
329,13,pressure,null
330,13,was,null
331,13,raised,operation
332,13,from,null
333,13,28,number
334,13,MPa,condition-unit
335,13,to,null
336,13,50,number
337,13,MPa,condition-unit
338,13,during,null
339,13,the,null
340,13,heating,null
341,13,step,null
342,13,",",null
343,13,kept,operation
344,13,constant,null
345,13,over,null
346,13,the,null
347,13,temperature,null
348,13,plateau,null
349,13,and,null
350,13,released,operation
351,13,during,null
352,13,the,null
353,13,cooling,null
354,13,step,null
355,13,.,null
356,14,Insights,null
357,14,into,null
358,14,the,null
359,14,stability,null
360,14,of,null
361,14,gold,target
362,14,nanoparticles,property-misc
363,14,supported,null
364,14,on,null
365,14,metal,null
366,14,oxides,null
367,14,for,null
368,14,the,null
369,14,base,null
370,14,-,null
371,14,free,null
372,14,oxidation,null
373,14,of,null
374,14,glucose,null
375,14,to,null
376,14,gluconic,null
377,14,acid,null
