Sentence #,Word,Tag
1,Magnetic,null
1,and,null
1,thermoelectric,null
1,properties,null
1,of,null
1,the,null
1,ternary,null
1,pseudo-hollandite,null
1,BaxCr5Se8,B-target
1,(,null
1,0.5,B-number
1,<,null
1,x,null
1,<,null
1,0.55,B-number
1,),null
1,solid,null
1,solution,null
1,.,null
2,In,null
2,order,null
2,to,null
2,prevent,null
2,oxidation,null
2,of,null
2,the,null
2,reactants,B-unspecified_material
2,and,null
2,of,null
2,the,null
2,products,B-unspecified_material
2,",",null
2,all,null
2,manipulations,null
2,were,null
2,performed,B-operation
2,under,null
2,an,null
2,inert,B-unspecified_material
2,gas,I-unspecified_material
2,atmosphere,null
2,or,null
2,under,null
2,vacuum,B-condition_misc
2,(,null
2,glove,null
2,box,null
2,or,null
2,sealed,null
2,containers,null
2,),null
2,.,null
3,The,null
3,elements,null
3,",",null
3,Ba,B-precursor
3,(,null
3,rod,null
3,",",null
3,99+,B-number
3,%,B-amount_unit
3,),null
3,",",null
3,Se,B-precursor
3,(,null
3,shots,null
3,",",null
3,99.999,B-number
3,%,B-amount_unit
3,),null
3,and,null
3,Cr,B-precursor
3,(,null
3,powder,null
3,-325,B-number
3,Mesh,B-property_unit
3,",",null
3,99,B-number
3,%,B-amount_unit
3,),null
3,all,null
3,from,null
3,Alfa,null
3,Aesar,null
3,",",null
3,were,null
3,used,B-operation
3,as,null
3,received,null
3,.,null
4,The,null
4,synthesis,null
4,of,null
4,the,null
4,solid,null
4,-,null
4,solution,null
4,samples,B-unspecified_material
4,was,null
4,performed,B-operation
4,following,null
4,ref.,null
4,20,B-reference
4,.,null
5,BaSe,B-material
5,was,null
5,prepared,B-operation
5,by,null
5,mechanical,B-operation
5,alloying,I-operation
5,using,I-operation
5,appropriate,null
5,amounts,null
5,of,null
5,the,null
5,elements,B-unspecified_material
5,(,null
5,10,B-number
5,g,B-amount_unit
5,total,null
5,),null
5,loaded,B-operation
5,in,null
5,20,B-number
5,ml,B-apparatus_unit
5,tungsten,B-apparatus_descriptor
5,carbide,I-apparatus_descriptor
5,jars,B-synthesis_apparatus
5,and,null
5,using,null
5,7,B-number
5,balls,B-apparatus_unit
5,of,null
5,the,null
5,same,null
5,material,B-unspecified_material
5,.,null
6,The,null
6,mechanical,B-operation
6,alloying,I-operation
6,synthesis,null
6,was,null
6,achieved,B-operation
6,using,I-operation
6,a,null
6,Fritsch,B-brand
6,Pulverisette,B-synthesis_apparatus
6,7,I-synthesis_apparatus
6,PL,I-synthesis_apparatus
6,",",null
6,with,null
6,a,null
6,program,null
6,of,null
6,15,B-number
6,cycles,B-condition_unit
6,of,null
6,2,B-number
6,minutes,B-condition_unit
6,at,null
6,a,null
6,speed,null
6,of,null
6,700,B-number
6,rpm,B-condition_unit
6,.,null
7,BaxCr5Se8,B-target
7,was,null
7,then,null
7,prepared,B-operation
7,from,null
7,an,null
7,appropriate,null
7,amount,null
7,of,null
7,BaSe,B-material
7,and,null
7,elemental,null
7,Cr,B-precursor
7,and,null
7,Se,B-precursor
7,.,null
8,In,null
8,order,null
8,to,null
8,obtain,null
8,5,B-number
8,g,B-amount_unit
8,of,null
8,the,null
8,title,null
8,phase,B-unspecified_material
8,",",null
8,precursors,B-unspecified_material
8,were,null
8,ground,B-operation
8,",",null
8,mixed,B-operation
8,and,null
8,placed,B-operation
8,in,null
8,an,null
8,alumina,null
8,boat,null
8,in,null
8,a,null
8,sealed,B-operation
8,silica,null
8,tube,null
8,",",null
8,and,null
8,heated,B-operation
8,to,null
8,873,B-number
8,K,B-condition_unit
8,in,null
8,10,B-number
8,hours,B-condition_unit
8,",",null
8,the,null
8,temperature,null
8,at,null
8,which,null
8,it,null
8,remained,null
8,for,null
8,two,null
8,days,null
8,.,null
9,The,null
9,mixture,B-unspecified_material
9,was,null
9,then,null
9,slowly,null
9,cooled,B-operation
9,to,null
9,room,null
9,temperature,null
9,within,null
9,10,B-number
9,hours,B-condition_unit
9,and,null
9,a,null
9,homogeneous,null
9,dark,null
9,grey,null
9,powder,B-unspecified_material
9,was,null
9,obtained,null
9,.,null
10,The,null
10,powder,B-unspecified_material
10,was,null
10,compacted,B-operation
10,using,I-operation
10,spark,I-operation
10,plasma,I-operation
10,sintering,I-operation
10,(,null
10,FCT,null
10,HP,null
10,D,null
10,25,null
10,/,null
10,1,null
10,),null
10,in,null
10,order,null
10,to,null
10,produce,B-operation
10,dense,null
10,samples,B-unspecified_material
10,for,null
10,physical,null
10,property,null
10,measurements,null
10,.,null
11,About,null
11,5,B-number
11,g,B-amount_unit
11,of,null
11,the,null
11,sample,B-unspecified_material
11,were,null
11,inserted,B-operation
11,into,null
11,high,null
11,density,null
11,graphite,null
11,dies,null
11,(,null
11,Carbonloraine,null
11,),null
11,with,null
11,an,null
11,inner,null
11,diameter,null
11,of,null
11,15,B-number
11,mm,B-apparatus_unit
11,.,null
12,The,null
12,temperature,null
12,was,null
12,raised,B-operation
12,in,null
12,45,B-number
12,minutes,B-condition_unit
12,to,null
12,973,B-number
12,K,B-condition_unit
12,",",null
12,this,null
12,temperature,null
12,plateau,null
12,lasted,null
12,40,B-number
12,minutes,B-condition_unit
12,before,null
12,a,null
12,45,B-number
12,minutes,B-condition_unit
12,ramp,B-operation
12,down,I-operation
12,to,null
12,room,null
12,temperature,null
12,.,null
13,The,null
13,pressure,null
13,was,null
13,raised,B-operation
13,from,null
13,28,B-number
13,MPa,B-condition_unit
13,to,null
13,50,B-number
13,MPa,B-condition_unit
13,during,null
13,the,null
13,heating,null
13,step,null
13,",",null
13,kept,B-operation
13,constant,null
13,over,null
13,the,null
13,temperature,null
13,plateau,null
13,and,null
13,released,B-operation
13,during,null
13,the,null
13,cooling,null
13,step,null
13,.,null
14,Insights,null
14,into,null
14,the,null
14,stability,null
14,of,null
14,gold,B-target
