Sentence #,Word,Tag
1,Magnetic,null
1,and,null
1,thermoelectric,null
1,properties,null
1,of,null
1,the,null
1,ternary,null
1,pseudo-hollandite,null
1,BaxCr5Se8,target
1,(,null
1,0.5,number
1,<,null
1,x,null
1,<,null
1,0.55,number
1,),null
1,solid,null
1,solution,null
1,.,null
2,In,null
2,order,null
2,to,null
2,prevent,null
2,oxidation,null
2,of,null
2,the,null
2,reactants,unspecified-material
2,and,null
2,of,null
2,the,null
2,products,unspecified-material
2,",",null
2,all,null
2,manipulations,null
2,were,null
2,performed,operation
2,under,null
2,an,null
2,inert,unspecified-material
2,gas,unspecified-material
2,atmosphere,null
2,or,null
2,under,null
2,vacuum,condition-misc
2,(,null
2,glove,null
2,box,null
2,or,null
2,sealed,null
2,containers,null
2,),null
2,.,null
3,The,null
3,elements,null
3,",",null
3,Ba,precursor
3,(,null
3,rod,null
3,",",null
3,99+,number
3,%,amount-unit
3,),null
3,",",null
3,Se,precursor
3,(,null
3,shots,null
3,",",null
3,99.999,number
3,%,amount-unit
3,),null
3,and,null
3,Cr,precursor
3,(,null
3,powder,null
3,-325,number
3,Mesh,property-unit
3,",",null
3,99,number
3,%,amount-unit
3,),null
3,all,null
3,from,null
3,Alfa,null
3,Aesar,null
3,",",null
3,were,null
3,used,operation
3,as,null
3,received,null
3,.,null
4,The,null
4,synthesis,null
4,of,null
4,the,null
4,solid,null
4,-,null
4,solution,null
4,samples,unspecified-material
4,was,null
4,performed,operation
4,following,null
4,ref.,null
4,20,reference
4,.,null
5,BaSe,material
5,was,null
5,prepared,operation
5,by,null
5,mechanical,operation
5,alloying,operation
5,using,operation
5,appropriate,null
5,amounts,null
5,of,null
5,the,null
5,elements,unspecified-material
5,(,null
5,10,number
5,g,amount-unit
5,total,null
5,),null
5,loaded,operation
5,in,null
5,20,number
5,ml,apparatus-unit
5,tungsten,apparatus-descriptor
5,carbide,apparatus-descriptor
5,jars,synthesis-apparatus
5,and,null
5,using,null
5,7,number
5,balls,apparatus-unit
5,of,null
5,the,null
5,same,null
5,material,unspecified-material
5,.,null
6,The,null
6,mechanical,operation
6,alloying,operation
6,synthesis,null
6,was,null
6,achieved,operation
6,using,operation
6,a,null
6,Fritsch,brand
6,Pulverisette,synthesis-apparatus
6,7,synthesis-apparatus
6,PL,synthesis-apparatus
6,",",null
6,with,null
6,a,null
6,program,null
6,of,null
6,15,number
6,cycles,condition-unit
6,of,null
6,2,number
6,minutes,condition-unit
6,at,null
6,a,null
6,speed,null
6,of,null
6,700,number
6,rpm,condition-unit
6,.,null
7,BaxCr5Se8,target
7,was,null
7,then,null
7,prepared,operation
7,from,null
7,an,null
7,appropriate,null
7,amount,null
7,of,null
7,BaSe,material
7,and,null
7,elemental,null
7,Cr,precursor
7,and,null
7,Se,precursor
7,.,null
8,In,null
8,order,null
8,to,null
8,obtain,null
8,5,number
8,g,amount-unit
8,of,null
8,the,null
8,title,null
8,phase,unspecified-material
8,",",null
8,precursors,unspecified-material
8,were,null
8,ground,operation
8,",",null
8,mixed,operation
8,and,null
8,placed,operation
8,in,null
8,an,null
8,alumina,null
8,boat,null
8,in,null
8,a,null
8,sealed,operation
8,silica,null
8,tube,null
8,",",null
8,and,null
8,heated,operation
8,to,null
8,873,number
8,K,condition-unit
8,in,null
8,10,number
8,hours,condition-unit
8,",",null
8,the,null
8,temperature,null
8,at,null
8,which,null
8,it,null
8,remained,null
8,for,null
8,two,null
8,days,null
8,.,null
9,The,null
9,mixture,unspecified-material
9,was,null
9,then,null
9,slowly,null
9,cooled,operation
9,to,null
9,room,null
9,temperature,null
9,within,null
9,10,number
9,hours,condition-unit
9,and,null
9,a,null
9,homogeneous,null
9,dark,null
9,grey,null
9,powder,unspecified-material
9,was,null
9,obtained,null
9,.,null
10,The,null
10,powder,unspecified-material
10,was,null
10,compacted,operation
10,using,operation
10,spark,operation
10,plasma,operation
10,sintering,operation
10,(,null
10,FCT,null
10,HP,null
10,D,null
10,25,null
10,/,null
10,1,null
10,),null
10,in,null
10,order,null
10,to,null
10,produce,operation
10,dense,null
10,samples,unspecified-material
10,for,null
10,physical,null
10,property,null
10,measurements,null
10,.,null
11,About,null
11,5,number
11,g,amount-unit
11,of,null
11,the,null
11,sample,unspecified-material
11,were,null
11,inserted,operation
11,into,null
11,high,null
11,density,null
11,graphite,null
11,dies,null
11,(,null
11,Carbonloraine,null
11,),null
11,with,null
11,an,null
11,inner,null
11,diameter,null
11,of,null
11,15,number
11,mm,apparatus-unit
11,.,null
12,The,null
12,temperature,null
12,was,null
12,raised,operation
12,in,null
12,45,number
12,minutes,condition-unit
12,to,null
12,973,number
12,K,condition-unit
12,",",null
12,this,null
12,temperature,null
12,plateau,null
12,lasted,null
12,40,number
12,minutes,condition-unit
12,before,null
12,a,null
12,45,number
12,minutes,condition-unit
12,ramp,operation
12,down,operation
12,to,null
12,room,null
12,temperature,null
12,.,null
13,The,null
13,pressure,null
13,was,null
13,raised,operation
13,from,null
13,28,number
13,MPa,condition-unit
13,to,null
13,50,number
13,MPa,condition-unit
13,during,null
13,the,null
13,heating,null
13,step,null
13,",",null
13,kept,operation
13,constant,null
13,over,null
13,the,null
13,temperature,null
13,plateau,null
13,and,null
13,released,operation
13,during,null
13,the,null
13,cooling,null
13,step,null
13,.,null
14,Insights,null
14,into,null
14,the,null
14,stability,null
14,of,null
14,gold,target
14,nanoparticles,property-misc
14,supported,null
14,on,null
14,metal,null
14,oxides,null
14,for,null
14,the,null
14,base,null
14,-,null
14,free,null
14,oxidation,null
14,of,null
14,glucose,null
14,to,null
14,gluconic,null
14,acid,null
14,.,null
15,Au,target
15,was,null
15,deposited,operation
15,on,null
15,the,null
15,metal,unspecified-material
15,oxides,unspecified-material
15,by,null
15,the,null
15,deposition,meta
15,-,meta
15,precipitation,meta
15,method.30,reference
